Fuente;N_charac;N_w;N_dcw;N_cw;N_lfw;N_rw;N_s;N_cs;LDI;ILFW;LC;SSR;ASL;CS;SCI;ARI;PM;MTLD;BLOQUE;CCONJ;SCONJ;PROPN;PRON;NOUN;VERB;ADP;AUX;DET;ADV;ADJ
CNE - Tramites - TEXTO 0055 REGLAMENTO DE PROMOCION ELECTORAL.txt;280;48;36;25;4;23;1;0;36;16;26;258,2195;48;0;24;30,045;1;14,42179469;CNE;2;0;12;2;6;2;13;1;6;0;4
CNE - Tramites - TEXTO 0056 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;373;60;46;35;9;38;1;0;46;25,71428571;35,85714286;328,68;60;0;30;37,8505;10;13,66043949;CNE;4;1;5;0;19;2;12;0;5;1;9
CNE - Tramites - TEXTO 0056 REGLAMENTO DE PROMOCION ELECTORAL.txt;382;60;43;36;4;30;1;1;43;11,11111111;27,05555556;284,44;60;1;30,5;38,557;4;14,51411765;CNE;4;1;21;0;6;2;11;2;8;0;5
CNE - Tramites - TEXTO 0057 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;412;64;48;38;10;38;1;0;48;26,31578947;37,15789474;321,98225;64;0;32;40,890625;10;13,4260335;CNE;4;1;5;0;20;2;14;0;6;1;11
CNE - Tramites - TEXTO 0057 REGLAMENTO DE PROMOCION ELECTORAL.txt;231;36;28;23;3;19;1;1;28;13,04347826;20,52173913;255,0406667;36;1;18,5;26,7925;3;14,50848433;CNE;0;0;9;0;6;1;8;1;5;0;6
CNE - Tramites - TEXTO 0058 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;224;38;32;20;6;21;1;0;32;30;31;266,5051579;38;0;19;25,33421053;1;14,11672197;CNE;3;0;5;0;10;2;8;1;4;0;3
CNE - Tramites - TEXTO 0058 REGLAMENTO DE PROMOCION ELECTORAL.txt;225;37;31;22;8;16;1;1;31;36,36363636;33,68181818;225,0140811;37;1;19;25,71189189;3;13,49213972;CNE;3;0;3;0;10;4;6;1;5;0;5
CNE - Tramites - TEXTO 0059 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;430;75;54;36;7;34;1;1;54;19,44444444;36,72222222;293,091;75;1;38;43,074;6;13,3640825;CNE;2;1;12;2;12;5;19;3;14;0;5
CNE - Tramites - TEXTO 0059 REGLAMENTO DE PROMOCION ELECTORAL.txt;245;40;29;23;2;21;1;0;29;8,695652174;18,84782609;260,555;40;0;20;27,41875;1;14,23824057;CNE;0;0;10;1;8;2;10;1;6;0;2
CNE - Tramites - TEXTO 0060 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;237;40;32;21;6;20;2;2;16;28,57142857;22,28571429;220,08;20;1;10,5;16,47675;4;13,16576103;CNE;2;0;3;3;7;5;6;2;5;1;6
CNE - Tramites - TEXTO 0060 REGLAMENTO DE PROMOCION ELECTORAL.txt;304;51;37;28;5;26;1;1;37;17,85714286;27,42857143;273,2119412;51;1;26;32,14529412;2;14,12;CNE;2;0;6;0;14;1;13;1;6;1;6
CNE - Tramites - TEXTO 0061 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;236;34;30;19;6;20;1;0;30;31,57894737;30,78947368;271,8824706;34;0;17;28,26294118;3;14,32267915;CNE;2;0;13;0;5;0;7;0;5;0;2
CNE - Tramites - TEXTO 0061 REGLAMENTO DE PROMOCION ELECTORAL.txt;274;47;39;31;9;30;1;1;39;29,03225806;34,01612903;309,410234;47;1;24;29,52829787;8;13,60869565;CNE;4;0;7;0;14;3;8;1;4;0;6
CNE - Tramites - TEXTO 0062 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;217;35;31;19;6;19;1;1;31;31,57894737;31,28947368;258,435;35;1;18;25,272;2;14,35498756;CNE;1;1;9;1;4;2;6;3;5;2;1
CNE - Tramites - TEXTO 0062 REGLAMENTO DE PROMOCION ELECTORAL.txt;322;58;43;30;7;27;1;0;43;23,33333333;33,16666667;269,7806207;58;0;29;33,71862069;5;15;CNE;3;1;12;4;11;4;12;0;8;1;2
CNE - Tramites - TEXTO 0063 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;450;78;55;40;8;39;1;1;55;20;37,5;313,402;78;1;39,5;44,74307692;9;13,44217274;CNE;3;2;14;4;13;9;15;2;12;2;2
CNE - Tramites - TEXTO 0063 REGLAMENTO DE PROMOCION ELECTORAL.txt;323;54;42;30;5;27;1;0;42;16,66666667;29,33333333;274,786;54;0;27;33,74277778;6;13,1219556;CNE;2;0;6;4;14;4;8;1;8;0;5
CNE - Tramites - TEXTO 0064 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;347;59;42;33;7;30;1;0;42;21,21212121;31,60606061;285,6428644;59;0;29,5;35,77118644;3;13,43145758;CNE;4;0;15;5;10;4;10;0;7;0;4
CNE - Tramites - TEXTO 0064 REGLAMENTO DE PROMOCION ELECTORAL.txt;283;54;35;27;5;22;1;1;35;18,51851852;26,75925926;244,0637778;54;1;27,5;30,25388889;1;14,1880453;CNE;3;1;3;0;18;2;13;1;10;0;3
CNE - Tramites - TEXTO 0065 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;218;36;28;22;3;18;1;0;28;13,63636364;20,81818182;245,824;36;0;18;25,09166667;1;14,14684851;CNE;3;0;12;1;5;2;6;1;4;0;2
CNE - Tramites - TEXTO 0065 REGLAMENTO DE PROMOCION ELECTORAL.txt;394;68;41;37;11;30;1;1;41;29,72972973;35,36486486;277,7943529;68;1;34,5;39,86029412;6;13,33440104;CNE;5;0;7;0;21;4;17;2;8;1;3
CNE - Tramites - TEXTO 0066 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;363;61;49;32;7;30;2;2;24,5;21,875;23,1875;234,2548279;30,5;1;15,75;21,84836066;6;13,94098259;CNE;3;0;11;3;11;5;14;3;8;1;2
CNE - Tramites - TEXTO 0066 REGLAMENTO DE PROMOCION ELECTORAL.txt;221;37;30;21;4;18;1;0;30;19,04761905;24,52380952;242,9492162;37;0;18,5;25,2027027;3;13,45833333;CNE;1;1;6;0;10;2;9;0;5;0;3
CNE - Tramites - TEXTO 0067 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;315;49;42;29;7;32;2;0;21;24,13793103;22,56896552;278,1062143;24,5;0;12,25;21,09857143;4;13,8945;CNE;4;0;4;1;12;4;6;2;8;0;7
CNE - Tramites - TEXTO 0067 REGLAMENTO DE PROMOCION ELECTORAL.txt;264;51;33;26;6;21;1;1;33;23,07692308;28,03846154;240,6825294;51;1;26;28,45117647;3;14,39009197;CNE;2;1;3;0;17;2;13;1;9;0;3
CNE - Tramites - TEXTO 0068 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;171;26;24;16;3;18;1;1;24;18,75;21,375;293,5416923;26;1;13,5;22,54730769;3;13,48035255;CNE;4;0;4;0;6;1;2;2;2;1;3
CNE - Tramites - TEXTO 0068 REGLAMENTO DE PROMOCION ELECTORAL.txt;394;68;41;37;11;30;1;1;41;29,72972973;35,36486486;277,7943529;68;1;34,5;39,86029412;6;13,33440104;CNE;5;0;7;0;21;4;17;2;8;1;3
CNE - Tramites - TEXTO 0069 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;203;35;31;18;3;17;1;0;31;16,66666667;23,83333333;239,475;35;0;17,5;23,388;5;13,65995391;CNE;2;1;8;1;5;2;8;1;4;1;2
CNE - Tramites - TEXTO 0069 REGLAMENTO DE PROMOCION ELECTORAL.txt;239;47;39;27;4;26;2;2;19,5;14,81481481;17,15740741;243,3604362;23,5;1;12,25;14,27085106;2;12,6663577;CNE;3;1;4;2;10;3;8;3;6;0;7
CNE - Tramites - TEXTO 0070 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;178;27;24;17;4;20;1;0;24;23,52941176;23,76470588;311,2207778;27;0;13,5;23,12111111;2;14,12568858;CNE;4;0;3;1;8;3;2;2;2;0;2
CNE - Tramites - TEXTO 0070 REGLAMENTO DE PROMOCION ELECTORAL.txt;268;43;31;25;4;24;1;0;31;16;23,5;276,3776977;43;0;21,5;29,42534884;2;14,41227724;CNE;1;0;7;1;9;1;10;0;6;0;8
CNE - Tramites - TEXTO 0071 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;380;59;51;37;13;37;1;0;51;35,13513514;43,06756757;325,0089661;59;0;29,5;38,40559322;14;13,37086884;CNE;4;1;6;1;16;2;8;2;6;1;11
CNE - Tramites - TEXTO 0071 REGLAMENTO DE PROMOCION ELECTORAL.txt;339;65;45;33;5;26;1;1;45;15,15151515;30,07575758;259,305;65;1;33;35,63446154;6;13,16306168;CNE;4;3;6;0;16;3;13;1;11;1;7
CNE - Tramites - TEXTO 0072 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;354;52;43;34;13;36;1;0;43;38,23529412;40,61764706;335,3756923;52;0;26;36,63423077;13;14,29956578;CNE;4;0;7;1;16;3;7;1;4;0;9
CNE - Tramites - TEXTO 0072 REGLAMENTO DE PROMOCION ELECTORAL.txt;223;38;29;19;7;20;1;0;29;36,84210526;32,92105263;257,7735789;38;0;19;25,21026316;1;12,87354086;CNE;3;0;6;1;9;1;9;0;6;0;3
CNE - Tramites - TEXTO 0073 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;266;47;39;24;4;25;1;0;39;16,66666667;27,83333333;274,1123617;47;0;23,5;28,72659574;6;13,92165429;CNE;2;1;8;3;8;2;11;1;6;0;5
CNE - Tramites - TEXTO 0073 REGLAMENTO DE PROMOCION ELECTORAL.txt;285;46;37;28;4;24;1;0;37;14,28571429;25,64285714;269,1270435;46;0;23;30,75152174;6;13,61788921;CNE;3;0;3;1;16;1;9;0;4;1;8
CNE - Tramites - TEXTO 0074 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;152;25;22;15;3;15;1;0;22;20;21;261,305;25;0;12,5;19,7068;2;14,34441576;CNE;2;0;4;2;6;1;4;0;2;0;4
CNE - Tramites - TEXTO 0074 REGLAMENTO DE PROMOCION ELECTORAL.txt;180;31;26;18;2;17;1;0;26;11,11111111;18,55555556;253,8338387;31;0;15,5;21,4183871;1;13,8372093;CNE;2;0;9;0;5;1;7;1;4;0;2
CNE - Tramites - TEXTO 0075 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;396;63;42;35;9;36;1;0;42;25,71428571;33,85714286;312,967;63;0;31,5;39,67571429;6;15,02581844;CNE;4;1;10;3;12;3;11;0;7;2;10
CNE - Tramites - TEXTO 0075 REGLAMENTO DE PROMOCION ELECTORAL.txt;200;34;26;18;2;19;1;0;26;11,11111111;18,55555556;262,1236471;34;0;17;23,27588235;2;13,57145185;CNE;2;0;3;1;10;1;9;1;4;0;3
CNE - Tramites - TEXTO 0076 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;153;25;22;15;3;15;1;0;22;20;21;261,305;25;0;12,5;19,8952;2;14,45835595;CNE;2;0;4;2;6;1;4;0;2;0;4
CNE - Tramites - TEXTO 0076 REGLAMENTO DE PROMOCION ELECTORAL.txt;204;33;27;20;2;18;1;1;27;10;18,5;256,0788182;33;1;17;24,18636364;3;15,39896907;CNE;2;0;6;0;7;1;6;2;5;0;4
CNE - Tramites - TEXTO 0077 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;205;38;32;19;5;16;1;0;32;26,31578947;29,15789474;222,8472632;38;0;19;22,97921053;5;14,85369036;CNE;2;2;17;2;1;1;8;1;5;0;1
CNE - Tramites - TEXTO 0077 REGLAMENTO DE PROMOCION ELECTORAL.txt;271;50;33;25;5;23;1;0;33;20;26,5;255,078;50;0;25;29,0982;2;13,47251846;CNE;0;1;6;4;12;3;11;0;9;0;4
CNE - Tramites - TEXTO 0078 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;346;66;45;34;4;25;1;1;45;11,76470588;28,38235294;253,8758182;66;1;33,5;36,26181818;1;14,98454253;CNE;2;0;21;0;7;2;16;1;13;1;3
CNE - Tramites - TEXTO 0078 REGLAMENTO DE PROMOCION ELECTORAL.txt;178;32;23;17;2;17;1;0;23;11,76470588;17,38235294;249,75675;32;0;16;20,769375;1;13,54194757;CNE;1;0;10;0;5;0;8;1;6;0;1
CNE - Tramites - TEXTO 0079 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;240;39;29;22;4;17;1;0;29;18,18181818;23,59090909;229,3817692;39;0;19,5;27,05461538;5;14,23249839;CNE;2;0;9;1;7;2;9;1;4;1;3
CNE - Tramites - TEXTO 0079 REGLAMENTO DE PROMOCION ELECTORAL.txt;213;37;28;21;2;22;1;1;28;9,523809524;18,76190476;278,8194865;37;1;19;24,18432432;2;14,49808341;CNE;1;0;10;0;6;1;9;1;6;0;3
CNE - Tramites - TEXTO 0080 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;373;70;55;32;9;35;2;1;27,5;28,125;27,8125;244,215;35;0,5;17,75;21,16757143;6;12,7626004;CNE;4;0;7;2;17;6;13;1;13;0;3
CNE - Tramites - TEXTO 0080 REGLAMENTO DE PROMOCION ELECTORAL.txt;483;85;54;45;8;44;1;1;54;17,77777778;35,88888889;330,5202941;85;1;43;47,83388235;7;13,45445333;CNE;1;0;12;4;16;4;18;2;18;0;10
CNE - Tramites - TEXTO 0081 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;246;42;35;21;6;23;1;1;35;28,57142857;31,78571429;271,278;42;1;21,5;27,15714286;4;12,41343953;CNE;3;0;4;3;11;3;9;1;5;0;3
CNE - Tramites - TEXTO 0081 REGLAMENTO DE PROMOCION ELECTORAL.txt;253;42;36;25;5;23;1;1;36;20;28;271,278;42;1;21,5;27,94214286;4;14,28083146;CNE;2;0;10;2;5;2;8;2;5;0;6
CNE - Tramites - TEXTO 0082 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;247;44;37;22;5;23;1;1;37;22,72727273;29,86363636;266,2369091;44;1;22,5;27,01022727;5;12,41857412;CNE;4;0;6;3;12;3;9;1;5;0;1
CNE - Tramites - TEXTO 0082 REGLAMENTO DE PROMOCION ELECTORAL.txt;191;33;27;16;5;17;1;0;27;31,25;29,125;246,0242727;33;0;16,5;22,33090909;2;13,5392062;CNE;0;0;3;4;8;3;7;0;4;2;2
CNE - Tramites - TEXTO 0083 CONVOCATORIA REFERENDUM 2023.txt;313;51;39;26;7;27;1;0;39;26,92307692;32,96153846;279,7178235;51;0;25,5;32,97647059;2;13,88267045;CNE;0;0;3;3;11;3;12;0;10;0;9
CNE - Tramites - TEXTO 0083 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;354;61;37;29;5;33;1;0;37;17,24137931;27,12068966;299,6473607;61;0;30,5;36,40344262;8;12,74316617;CNE;7;0;5;0;16;0;13;1;7;0;7
CNE - Tramites - TEXTO 0084 CONVOCATORIA REFERENDUM 2023.txt;396;68;52;38;6;34;2;1;26;15,78947368;20,89473684;242,606;34;0,5;17,25;22,99882353;4;14,12056684;CNE;1;0;10;1;13;4;13;2;11;0;9
CNE - Tramites - TEXTO 0084 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;180;25;22;15;4;16;1;1;22;26,66666667;24,33333333;274,577;25;1;13;24,982;2;13,53872627;CNE;3;0;4;1;6;2;2;1;3;1;2
CNE - Tramites - TEXTO 0085 CONVOCATORIA REFERENDUM 2023.txt;379;62;49;33;5;32;2;0;24,5;15,15151515;19,82575758;243,1306129;31;0;15,5;22,86177419;6;14,1031402;CNE;2;1;13;1;11;4;12;0;11;0;5
CNE - Tramites - TEXTO 0085 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;324;55;35;25;4;29;1;1;35;16;25,5;285,4440909;55;1;28;33,81618182;3;14,2835787;CNE;4;0;13;0;9;3;12;1;7;2;2
CNE - Tramites - TEXTO 0086 CONVOCATORIA REFERENDUM 2023.txt;252;50;39;23;5;19;1;1;39;21,73913043;30,36956522;228,534;50;1;25,5;27,3084;2;13,24432391;CNE;2;0;8;2;6;4;11;1;9;3;3
CNE - Tramites - TEXTO 0086 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;412;75;55;38;6;38;1;1;55;15,78947368;35,39473684;310,787;75;1;38;41,9436;7;13,72093865;CNE;8;2;8;4;18;6;13;1;8;1;6
CNE - Tramites - TEXTO 0087 CONVOCATORIA REFERENDUM 2023.txt;348;61;50;29;4;31;2;0;25;13,79310345;19,39655172;239,6941721;30,5;0;15,25;20,69016393;6;13,77908609;CNE;1;0;7;4;13;3;13;0;12;0;6
CNE - Tramites - TEXTO 0087 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;380;65;37;37;2;32;1;0;37;5,405405405;21,2027027;289,9326923;65;0;32,5;38,60538462;4;14,63179416;CNE;5;0;22;2;7;3;13;0;8;0;5
CNE - Tramites - TEXTO 0088 CONVOCATORIA REFERENDUM 2023.txt;231;35;28;19;8;20;1;0;28;42,10526316;35,05263158;267,915;35;0;17,5;27,156;2;12,93867925;CNE;2;0;1;3;11;5;7;0;4;0;2
CNE - Tramites - TEXTO 0088 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;314;49;34;28;3;26;1;0;34;10,71428571;22,35714286;276,8981429;49;0;24,5;33,25244898;8;16,28392645;CNE;3;0;21;2;4;1;11;0;5;0;1
CNE - Tramites - TEXTO 0089 CONVOCATORIA REFERENDUM 2023.txt;366;61;44;32;6;31;2;0;22;18,75;20,375;239,6941721;30,5;0;15,25;22,08;4;14,65914123;CNE;3;0;10;2;14;2;12;2;11;0;4
CNE - Tramites - TEXTO 0089 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;197;32;25;19;2;18;1;0;25;10,52631579;17,76315789;260,1255;32;0;16;23,5659375;1;15,2467844;CNE;2;0;10;2;5;2;5;0;4;0;2
CNE - Tramites - TEXTO 0090 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2018).txt;193;34;27;21;2;16;1;1;27;9,523809524;18,26190476;232,8471765;34;1;17,5;22,30617647;2;14,53832008;CNE;3;0;11;1;6;1;8;1;2;0;1
CNE - Tramites - TEXTO 0090 REGLAMENTO PARA CONFORMACION DE ALIANZAS ELECTORALES.txt;619;96;62;53;11;51;1;0;62;20,75471698;41,37735849;352,73275;96;0;48;56,9396875;12;14,74819619;CNE;9;3;15;0;21;3;17;2;12;2;12
CNE - Tramites - TEXTO 0091 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;269;43;33;25;5;22;1;1;33;20;26,5;260,9451395;43;1;22;29,53488372;5;13,34729431;CNE;2;0;6;3;10;4;8;2;5;0;3
CNE - Tramites - TEXTO 0091 REGLAMENTO PARA CONFORMACION DE ALIANZAS ELECTORALES.txt;341;56;44;29;5;31;1;1;44;17,24137931;30,62068966;295,779;56;1;28,5;35,25053571;5;14,0182629;CNE;5;1;4;3;15;5;8;1;9;1;4
CNE - Tramites - TEXTO 0092 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;272;48;38;25;7;21;1;0;38;28;33;244,3945;48;0;24;29,26;8;13,52221188;CNE;2;1;13;4;5;5;11;1;5;0;1
CNE - Tramites - TEXTO 0092 REGLAMENTO PARA CONFORMACION DE ALIANZAS ELECTORALES.txt;434;75;48;38;5;37;1;1;48;13,15789474;30,57894737;306,363;75;1;38;43,3252;7;14,48057084;CNE;4;3;17;1;11;5;15;0;14;1;4
CNE - Tramites - TEXTO 0093 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;380;61;37;31;9;27;1;0;37;29,03225806;33,01612903;267,0112951;61;0;30,5;38,41098361;9;13,7374951;CNE;4;0;6;4;14;3;13;1;9;0;7
CNE - Tramites - TEXTO 0093 REGLAMENTO PARA CONFORMACION DE ALIANZAS ELECTORALES.txt;321;54;37;28;3;27;1;0;37;10,71428571;23,85714286;274,786;54;0;27;33,56833333;4;15,19355205;CNE;3;1;12;0;11;2;13;0;9;0;3
CNE - Tramites - TEXTO 0094 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;327;54;42;29;5;26;1;0;42;17,24137931;29,62068966;268,6415556;54;0;27;34,09166667;5;13,56208206;CNE;2;1;9;1;9;5;12;1;8;1;5
CNE - Tramites - TEXTO 0094 REGLAMENTO PARA CONFORMACION DE ALIANZAS ELECTORALES.txt;472;78;54;41;6;39;2;1;27;14,63414634;20,81707317;250,651;39;0,5;19,75;26,57153846;5;14,13665174;CNE;4;0;16;3;11;5;19;2;12;0;6
CNE - Tramites - TEXTO 0095 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;327;54;42;29;5;26;1;0;42;17,24137931;29,62068966;268,6415556;54;0;27;34,09166667;5;13,56208206;CNE;2;1;9;1;9;5;12;1;8;1;5
CNE - Tramites - TEXTO 0095 REGLAMENTO PARA CONFORMACION DE ALIANZAS ELECTORALES.txt;174;28;24;15;3;13;1;0;24;20;22;221,102;28;0;14;21,83928571;1;14,13106076;CNE;0;0;3;2;7;2;7;0;4;0;3
CNE - Tramites - TEXTO 0096 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;343;55;42;32;5;27;1;1;42;15,625;28,8125;273,3786364;55;1;28;35,44327273;8;13,79112635;CNE;2;1;13;2;9;4;12;2;6;0;4
CNE - Tramites - TEXTO 0096 REGLAMENTO PARA CONFORMACION DE ALIANZAS ELECTORALES.txt;376;61;42;29;7;30;1;1;42;24,13793103;33,06896552;283,3293279;61;1;31;38,10213115;6;12,31908611;CNE;1;1;5;1;15;4;14;1;13;2;4
CNE - Tramites - TEXTO 0097 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;343;55;42;32;5;27;1;1;42;15,625;28,8125;273,3786364;55;1;28;35,44327273;8;13,79112635;CNE;2;1;13;2;9;4;12;2;6;0;4
CNE - Tramites - TEXTO 0097 REGLAMENTO PARA CONFORMACION DE ALIANZAS ELECTORALES.txt;225;38;29;19;4;21;1;0;29;21,05263158;25,02631579;266,5051579;38;0;19;25,45815789;3;13,24036112;CNE;0;0;2;1;11;2;10;0;9;0;3
CNE - Tramites - TEXTO 0098 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;284;44;35;24;5;23;1;1;35;20,83333333;27,91666667;266,2369091;44;1;22,5;30,97090909;8;13,48683126;CNE;2;1;7;1;10;1;9;3;6;1;3
CNE - Tramites - TEXTO 0098 REGLAMENTO PARA CONFORMACION DE ALIANZAS ELECTORALES.txt;196;31;26;17;3;17;1;1;26;17,64705882;21,82352941;253,8338387;31;1;16;23,84935484;1;14,07593448;CNE;1;0;2;0;8;2;7;1;5;0;5
CNE - Tramites - TEXTO 0099 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;438;75;55;39;11;45;2;1;27,5;28,20512821;27,8525641;281,4175;37,5;0,5;19;24,8264;6;13,90137044;CNE;4;1;6;4;20;5;16;0;11;1;7
CNE - Tramites - TEXTO 0099 REGLAMENTO PARA CONFORMACION DE ALIANZAS ELECTORALES.txt;339;61;44;33;4;32;1;1;44;12,12121212;28,06060606;294,2080164;61;1;31;35,2452459;4;14,13014637;CNE;1;1;2;2;16;4;14;3;10;1;7
CNE - Tramites - TEXTO 0100 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;218;37;35;22;4;15;1;1;35;18,18181818;26,59090909;216,0465135;37;1;19;24,82081081;6;13,91713483;CNE;3;1;4;1;11;4;6;1;4;0;2
CNE - Tramites - TEXTO 0100 REGLAMENTO PARA CONFORMACION DE ALIANZAS ELECTORALES.txt;511;90;59;47;7;43;1;0;59;14,89361702;36,94680851;325,3366667;90;0;45;50,31233333;7;14,33442924;CNE;4;1;11;1;23;3;23;1;13;0;9
CNE - Tramites - TEXTO 0101 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;175;28;28;19;7;15;1;1;28;36,84210526;32,42105263;244,802;28;1;14,5;22,0075;3;13,79445754;CNE;2;2;4;0;6;3;4;1;1;0;5
CNE - Tramites - TEXTO 0101 REGLAMENTO PARA CONFORMACION DE ALIANZAS ELECTORALES.txt;344;67;48;32;8;28;1;1;48;25;36,5;268,4656866;67;1;34;36,25268657;5;13,14672872;CNE;2;2;4;4;16;5;14;3;11;1;5
CNE - Tramites - TEXTO 0102 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;358;57;44;31;7;30;1;0;44;22,58064516;33,29032258;288,3445789;57;0;28,5;36,65210526;4;14,00435548;CNE;1;0;10;3;10;3;12;0;10;0;8
CNE - Tramites - TEXTO 0102 REGLAMENTO PARA CONFORMACION DE ALIANZAS ELECTORALES.txt;441;75;51;39;5;35;2;1;25,5;12,82051282;19,16025641;237,1775;37,5;0,5;19;25,0148;4;13,1362297;CNE;0;1;2;7;19;6;16;2;11;1;10
CNE - Tramites - TEXTO 0103 CERTIFICADO DE APOLICISMO.txt;123;22;19;11;2;10;1;0;19;18,18181818;18,59090909;208,2161818;22;0;11;15,90318182;1;15,07277711;CNE;1;1;1;1;5;2;3;1;4;1;2
CNE - Tramites - TEXTO 0103 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;450;74;56;43;7;39;2;1;28;16,27906977;22,13953488;256,4005676;37;0,5;18,75;25,71189189;6;14,31823913;CNE;2;0;16;1;12;4;13;2;11;0;9
CNE - Tramites - TEXTO 0104 FORMULARIO DE JUSTIFICACION DE INASISTENCIA A SUFRAGAR.txt;122;16;14;11;8;10;1;0;14;72,72727273;43,36363636;255,119;16;0;8;22,48375;2;16,47551872;CNE;0;0;10;0;0;0;5;0;0;0;1
CNE - Tramites - TEXTO 0104 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;408;66;51;36;5;35;2;0;25,5;13,88888889;19,69444444;251,0515455;33;0;16,5;24,18636364;8;13,95761119;CNE;3;1;17;1;10;4;12;0;11;0;5
CNE - Tramites - TEXTO 0105 FORMULARIO DE JUSTIFICACION DE INASISTENCIA A SUFRAGAR.txt;122;19;16;11;7;11;1;0;16;63,63636364;39,81818182;244,6657368;19;0;9,5;18,31315789;1;14,77777778;CNE;1;0;5;1;4;1;5;0;1;0;1
CNE - Tramites - TEXTO 0105 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;356;60;43;32;6;35;3;1;14,33333333;18,75;16,54166667;247,73;20;0,333333333;10,16666667;16,516;8;13,04735902;CNE;6;1;10;0;12;2;8;2;12;1;6
CNE - Tramites - TEXTO 0106 FORMULARIO DE JUSTIFICACION DE INASISTENCIA A SUFRAGAR.txt;200;35;27;18;7;17;1;0;27;38,88888889;32,94444444;239,475;35;0;17,5;22,98428571;1;13,64705882;CNE;2;1;5;3;7;4;7;1;4;0;1
CNE - Tramites - TEXTO 0106 REFERENDUM CONSTITUCIONAL Y CONSULTA POPULAR (2023).txt;206;30;19;18;4;16;1;0;19;22,22222222;20,61111111;247,23;30;0;15;25,912;3;14,40392795;CNE;6;0;5;0;8;2;3;0;3;0;3
CNE - Tramites - TEXTO 0107 FORMULARIO DE JUSTIFICACION DE INASISTENCIA A SUFRAGAR.txt;177;26;24;14;6;11;1;1;24;42,85714286;33,42857143;204,2109231;26;1;13,5;23,63423077;2;13,36824645;CNE;2;0;4;0;5;2;8;1;1;1;2
